"column","factored_by","factor_value","mean"
"mpg","cyl",6,19.7428571428571
"mpg","cyl",4,26.6636363636364
"mpg","cyl",8,15.1
"mpg","vs",0,16.6166666666667
"mpg","vs",1,24.5571428571429
"mpg","am",1,24.3923076923077
"mpg","am",0,17.1473684210526
"mpg","gear",4,24.5333333333333
"mpg","gear",3,16.1066666666667
"mpg","gear",5,21.38
"disp","cyl",6,183.314285714286
"disp","cyl",4,105.136363636364
"disp","cyl",8,353.1
"disp","vs",0,307.15
"disp","vs",1,132.457142857143
"disp","am",1,143.530769230769
"disp","am",0,290.378947368421
"disp","gear",4,123.016666666667
"disp","gear",3,326.3
"disp","gear",5,202.48
"hp","cyl",6,122.285714285714
"hp","cyl",4,82.6363636363636
"hp","cyl",8,209.214285714286
"hp","vs",0,189.722222222222
"hp","vs",1,91.3571428571429
"hp","am",1,126.846153846154
"hp","am",0,160.263157894737
"hp","gear",4,89.5
"hp","gear",3,176.133333333333
"hp","gear",5,195.6
"drat","cyl",6,3.58571428571429
"drat","cyl",4,4.07090909090909
"drat","cyl",8,3.22928571428571
"drat","vs",0,3.39222222222222
"drat","vs",1,3.85928571428571
"drat","am",1,4.05
"drat","am",0,3.28631578947368
"drat","gear",4,4.04333333333333
"drat","gear",3,3.13266666666667
"drat","gear",5,3.916
"wt","cyl",6,3.11714285714286
"wt","cyl",4,2.28572727272727
"wt","cyl",8,3.99921428571429
"wt","vs",0,3.68855555555556
"wt","vs",1,2.61128571428571
"wt","am",1,2.411
"wt","am",0,3.76889473684211
"wt","gear",4,2.61666666666667
"wt","gear",3,3.8926
"wt","gear",5,2.6326
"qsec","cyl",6,17.9771428571429
"qsec","cyl",4,19.1372727272727
"qsec","cyl",8,16.7721428571429
"qsec","vs",0,16.6938888888889
"qsec","vs",1,19.3335714285714
"qsec","am",1,17.36
"qsec","am",0,18.1831578947368
"qsec","gear",4,18.965
"qsec","gear",3,17.692
"qsec","gear",5,15.64
"carb","cyl",6,3.42857142857143
"carb","cyl",4,1.54545454545455
"carb","cyl",8,3.5
"carb","vs",0,3.61111111111111
"carb","vs",1,1.78571428571429
"carb","am",1,2.92307692307692
"carb","am",0,2.73684210526316
"carb","gear",4,2.33333333333333
"carb","gear",3,2.66666666666667
"carb","gear",5,4.4
