"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",328568,35.5,20.1,82.5,17.5,25130,115,69.5,39630,17.6,0.61,14680,70,385000,1292.6,87802,0.8,16,7.25,7.35,7.22,2.92
"2",301022,35.7,23.1,87.9,12.1,10237,54,68.3,45380,22.9,0.48,13160,71,301500,963.5,106339,1.1,11.7,7.32,7.57,7.3,3.2
"3",205773,32.9,21,86.1,13.9,7727,62,65.8,34080,21.1,0.47,5690,73,215000,783.2,56966,0.8,22.5,7.14,7.6,7.05,3.05
"4",173853,37,19,87,13,3157,28,74.4,56920,17.1,0.73,8520,79,385000,752.4,70421,1.1,8.9,7.34,7.68,7.41,3.29
"5",385108,37.2,21,83.3,16.7,14412,59,68.5,54530,18.7,0.69,24555,70,4e+05,1552.7,144717,1.1,10.8,7.48,7.76,7.37,2.75
"6",240595,36.2,8.8,82.8,17.2,10703,64,69.2,67990,12.4,2.25,29020,69,675000,1540.5,46601,0.5,19.1,7.14,7.38,7.11,3.61
"7",270912,32.9,20.4,92.7,7.3,9424,50,69,42690,18.1,0.7,16095,74,433000,877.8,41800,0.4,21.7,7.03,7.31,6.99,3.76
"8",54316618,39.6,18.8,32.2,17.7,749198,22,73.9,30763,16.8,0.83,2235345,74,198000,361360.1,25696833,1.1,16.2,7.45,7.7,7.33,3.03
"9",299474,36.3,21.2,87,13,6554,34,73.2,44950,11.4,1.15,12485,74,307000,1998.4,122486,1.2,14.3,7.37,7.68,7.28,3.47
"10",383408,36.9,22.3,87,13,7902,32,75.4,45120,20.1,0.58,14400,74,265000,1452.2,140049,1,16.5,7.1,7.57,7.18,3.3
"11",64596752,39.8,19,32.2,17.6,820603,20,73.5,39430,17.6,0.82,2550890,74,195000,445928.8,30333100,1.1,16.4,7.46,7.7,7.33,3.03
"12",272102,35.7,21,88.7,11.3,11132,62,74.2,44490,11.7,0.92,13035,74,319950,1420.7,94042,1,15.2,7.31,7.62,7.4,3.39
