"column","statistic","value"
"mpg","mean",20.090625
"disp","mean",230.721875
"hp","mean",146.6875
"drat","mean",3.5965625
"wt","mean",3.21725
"qsec","mean",17.84875
"mpg","sd",6.0269480520891
"disp","sd",123.938693831382
"hp","sd",68.5628684893206
"drat","sd",0.534678736070971
"wt","sd",0.978457442989697
"qsec","sd",1.78694323609684
"mpg","median",19.2
"disp","median",196.3
"hp","median",123
"drat","median",3.695
"wt","median",3.325
"qsec","median",17.71
"mpg","iqr",7.375
"disp","iqr",205.175
"hp","iqr",83.5
"drat","iqr",0.84
"wt","iqr",1.02875
"qsec","iqr",2.0075
"mpg","max",33.9
"disp","max",472
"hp","max",335
"drat","max",4.93
"wt","max",5.424
"qsec","max",22.9
"mpg","min",10.4
"disp","min",71.1
"hp","min",52
"drat","min",2.76
"wt","min",1.513
"qsec","min",14.5
